id,kategori,nama_budaya,deskripsi_singkat,makna_dan_fungsi,lokasi_utama,lintang,bujur,kondisi
134,Motif Tenun Songket,Motif Batu Cincin,Bentuk lingkaran dalam lingkaran luar,Kesetiaan ikatan janji suci yang takkan pernah berubah,Seluruh Lombok,-8.5650,116.3510,Terawat
135,Motif Tenun Songket,Motif Ombak Bergulung,Garis melengkung bertumpuk tiga ke arah sama,Kekuatan alam dahsyat & peringatan hormati alam,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
136,Motif Tenun Songket,Motif Buah Pisang,Bentuk memanjang berjejer satu sisir banyak,Rukun anggota keluarga yang saling melindungi satu sama lain,Seluruh Lombok,-8.5650,116.3510,Terawat
137,Motif Tenun Songket,Motif Jaring Laba-laba,Garis halus bersambung simetris dari titik tengah,Kerja cerdas teliti & sabar menunggu hasil yang pasti,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
138,Motif Tenun Songket,Motif Embun Pagi,Titik bulat kecil tersebar merata di seluruh bidang,Berkah Tuhan yang datang halus tak terduga di pagi hari,Seluruh Lombok,-8.5650,116.3510,Terawat
139,Motif Tenun Songket,Motif Sayap Garuda,Bentuk besar melebar simetris kiri kanan,Kekuatan negara & kebanggaan menjadi bangsa yang besar,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
140,Motif Tenun Songket,Motif Bunga Mawar Merah,Lima kelopak melengkung indah berduri di tangkai,Cinta yang indah namun harus dijaga dengan kesungguhan hati,Seluruh Lombok,-8.5650,116.3510,Terawat
141,Motif Tenun Songket,Motif Tangga Naik,Garis bertingkat naik berurutan ke kanan atas,Proses kehidupan yang makin lama makin baik & berkah,Seluruh Lombok,-8.5650,116.3510,Terawat
142,Motif Tenun Songket,Motif Gigi Gergaji,Garis runcing berjejer tajam menghadap satu arah,Ketegasan pendirian & batas tegas antara benar salah,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
143,Motif Tenun Songket,Motif Awan Putih Bersih,Bentuk lengkung lembut tanpa sudut tajam,Hati yang bersih & pikiran yang selalu damai menyejukkan,Seluruh Lombok,-8.5650,116.3510,Terawat
144,Motif Tenun Songket,Motif Ikan Lele,Bentuk panjang pipih berkumis dua ke kiri kanan,Ketabahan hidup di tempat sulit & tetap bertahan hidup,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
145,Motif Tenun Songket,Motif Bunga Kamboja,Tujuh kelopak lebar tersusun melingkar sempurna,Kesucian roh & doa yang selalu terangkat ke langit,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
146,Motif Tenun Songket,Motif Ranting Berduri,Garis memanjang runcing keluar ke samping,Peringatan agar berhati-hati bertindak & berucap,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
147,Motif Tenun Songket,Motif Pelangi Tujuh Warna,Garis lengkung besar bertumpuk 7 warna beda,Kehidupan beragam rukun indah walau berbeda-beda,Seluruh Lombok,-8.5650,116.3510,Terawat
148,Motif Tenun Songket,Motif Telur Burung,Bentuk lonjong sempurna tanpa sudut tajam,Awal kehidupan baru & harapan akan masa depan cerah,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
149,Motif Tenun Songket,Motif Daun Sirih,Bentuk hati runcing di ujungnya,Keramahan menyapa & kesucian dalam upacara adat,Seluruh Lombok,-8.5650,116.3510,Terawat
150,Motif Tenun Songket,Motif Kapal Berlayar,Bentuk segitiga layar di atas badan kapal panjang,Perjuangan mengarungi samudra kehidupan penuh tantangan,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
151,Motif Tenun Songket,Motif Bunga Cempaka,Enam kelopak memanjang berwarna cerah,Kemuliaan akhlak & wangi nama baik sepanjang masa,Seluruh Lombok,-8.5650,116.3510,Terawat
152,Motif Tenun Songket,Motif Sarang Lebah,Bentuk heksagonal bersambung rapi tak ada celah,Kerjasama tim yang sangat rapi teratur & penuh manfaat,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
153,Motif Tenun Songket,Motif Air Sungai Mengalir,Garis berkelok halus memanjang dari atas ke bawah,Kehidupan yang terus berjalan membawa manfaat ke mana saja,Seluruh Lombok,-8.5650,116.3510,Terawat
154,Motif Tenun Songket,Motif Bintang Jatuh,Garis miring panjang menyala ujung runcing,Rezeki tak terduga & momen langka yang harus disyukuri,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
155,Motif Tenun Songket,Motif Daun Saga,Bentuk kecil bulat hati berjejer sangat banyak,Cinta murni tulus & kesetiaan yang tak terhitung jumlahnya,Seluruh Lombok,-8.5650,116.3510,Terawat
156,Motif Tenun Songket,Motif Gajah Duduk,Bentuk besar bulat kokoh kaki pendek,Kekuatan besar yang tetap rendah hati & tidak menyakiti,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
157,Motif Tenun Songket,Motif Cahaya Bulan Purnama,Lingkaran sempurna terang merata seluruh sisi,Ketenangan malam & keutuhan hati keluarga yang bahagia,Seluruh Lombok,-8.5650,116.3510,Terawat
158,Motif Tenun Songket,Motif Ulat Kepompong,Bentuk lonjong tertutup rapat seluruh sisi,Proses pendewasaan diri sabar menuju perubahan indah,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
159,Motif Tenun Songket,Motif Bunga Asoka,Banyak kelopak kecil rapi membentuk kerucut,Kegembiraan hati & semangat membara menyambut kebaikan,Seluruh Lombok,-8.5650,116.3510,Terawat
160,Motif Tenun Songket,Motif Jembatan Gantung,Dua garis panjang melengkung dihubungkan garis pendek,Perantara penyambung dua pihak yang terpisah jarak & beda,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
161,Motif Tenun Songket,Motif Embun Es,Titik kecil banyak bersudut tajam simetris,Kemurnian hati yang bebas dari segala niat buruk & kotor,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
162,Motif Tenun Songket,Motif Ikan Koi,Bentuk bulat panjang berenang tenang,Umur panjang keberuntungan & ketenangan batin abadi,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
163,Motif Tenun Songket,Motif Bunga Melati Putih,Lima kelopak putih bersih sempurna,Kesucian jiwa kesopanan & keramahan tulus dari hati,Seluruh Lombok,-8.5650,116.3510,Terawat
164,Motif Tenun Songket,Motif Awan Gelap Gulita,Bentuk gelap besar menutupi hampir seluruh bidang,Ujian hidup berat yang pasti akan berlalu diganti terang,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
165,Motif Tenun Songket,Motif Daun Jati,Bentuk besar lebar ujung runcing,Keteguhan hati yang tak mudah goyah walau diterpa badai,Seluruh Lombok,-8.5650,116.3510,Terawat
166,Motif Tenun Songket,Motif Kaki Ayam,Tiga garis runcing memancar dari satu titik pusat,Dasar pendirian yang kokoh & langkah yang selalu pasti arahnya,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
167,Kerajinan Tangan,Tenun Songket Sukarare,Kain tenun sutra benang emas perak motif khas Sasak,Wujud ketelatenan kearifan lokal bernilai tinggi pusaka,Desa Sukarare,-8.7619,116.2147,Terawat
168,Kerajinan Tangan,Gerabah Banyumulek,Barang tanah liat dibakar teknik tradisional turun-temurun,Kemandirian memanfaatkan alam untuk kebutuhan hidup,Banyumulek Lombok Barat,-8.6681,116.1669,Terawat
169,Kerajinan Tangan,Anyaman Bambu Sade,Perlengkapan rumah tangga dari bambu dikepang rapi,Memanfaatkan alam melimpah menjadi barang berguna indah,Desa Sade,-8.8394,116.2921,Terawat
170,Kerajinan Tangan,Ukiran Kayu Selaparang,Hiasan kayu motif alam & cerita sejarah kerajaan,Seni mengabadikan nilai sejarah dalam goresan tangan,Lombok Tengah,-8.7294,116.2264,Tidak Terawat
171,Kerajinan Tangan,Perhiasan Perak Pengadang,Perhiasan dari perak murni diukir halus motif khas,Kemewahan yang tetap membumi & bernilai seni tinggi,Pengadang Lombok Tengah,-8.7500,116.2500,Tidak Terawat
172,Kerajinan Tangan,Batik Sasak Motif Rinjani,Kain batik tulis cap corak alam khas pulau Lombok,Memperkenalkan identitas daerah lewat kain yang dipakai,Seluruh Lombok,-8.5650,116.3510,Terawat
173,Kerajinan Tangan,Topeng Kayu Lingsar,Topeng kayu keras berkarakter kisah Panji & leluhur,Media penyampaian cerita moral & hiburan rakyat,Lingsar Lombok Barat,-8.5758,116.1801,Tidak Terawat
174,Kerajinan Tangan,Alat Musik Gendang Beleq Buatan Tangan,Gendang besar dari kayu utuh & kulit kerbau asli,Karya seni fungsional pemersatu warga dalam irama,Lombok Timur,-8.3715,116.5258,Terawat
175,Kerajinan Tangan,Kipas Anyaman Daun Palem,Kipas tangan dari daun palem kering dianyam rapi,Kesejukan alami & kerajinan sederhana penuh manfaat,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
176,Kerajinan Tangan,Tas Anyaman Enceng Gondok,Tas dari serat tanaman air dikeringkan diolah halus,Upaya menjaga lingkungan jadi barang bernilai ekonomi,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
177,Kerajinan Tangan,Pahatan Batu Gunung Rinjani,Patung & hiasan dari batu alam sekitar kaki gunung,Mengangkat kekayaan alam jadi karya seni bermakna,Sembalun,-8.3598,116.5258,Rusak Berat
178,Kerajinan Tangan,Boneka Kain Perca Sasak,Boneka dari sisa kain songket dibentuk pakaian adat,Memperkenalkan budaya pada anak & mengurangi limbah,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
179,Kerajinan Tangan,Lilin Ukir Motif Adat,Hiasan lilin dibentuk motif khas dipakai upacara,Keindahan sementara yang mengajarkan hidup tak kekal abadi,Bayan Lombok Utara,-8.2666,116.4272,Rusak Berat
180,Kerajinan Tangan,Anyaman Daun Rumbia Atap & Wadah,Atap rumah & wadah makanan dari daun rumbia diolah,Bahan alami tahan lama ramah lingkungan warisan lama,Seluruh Lombok,-8.5650,116.3510,Terawat
181,Kerajinan Tangan,Keris Buatan Pandai Besi Tua,Senjata pusaka ditempa berulang kali dengan doa,Benda sakral simbol kehormatan & pelindung pemiliknya,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
182,Kerajinan Tangan,Hiasan Dinding Kulit Kerbau,Gambar pemandangan & upacara di atas kulit yang dihaluskan,Mengabadikan budaya pada media unik tahan puluhan tahun,Desa Rambitan,-8.8452,116.3058,Rusak Berat
183,Kerajinan Tangan,Sabut Kelapa Diolah Sikat & Keset,Barang fungsional dari limbah sabut kelapa diolah rapi,Mengubah sampah alam menjadi barang berguna bernilai,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
184,Kerajinan Tangan,Tenun Ikat Endek Lombok,Kain tenun ikat bermotif cerah teknik khas tersendiri,Identitas busana sehari-hari yang tetap bernilai seni tinggi,Seluruh Lombok,-8.5650,116.3510,Terawat
185,Kerajinan Tangan,Patung Kayu Cendana Wangi,Patung kecil dari kayu cendana beraroma khas tahan lama,Karya seni bernilai tinggi & sarat makna spiritual,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
186,Kerajinan Tangan,Tembikar Hias Motif Geometris,Pajangan tanah liat dihias corak khas Sasak sebelum bakar,Perpaduan fungsi guna & nilai estetika budaya asli,Banyumulek,-8.6681,116.1669,Tidak Terawat
187,Kerajinan Tangan,Anyaman Rotan Kursi & Perabot,Perabot rumah dari rotan alam dikepang kuat awet,Kekayaan alam hutan dimanfaatkan sehat & ramah alam,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
188,Kerajinan Tangan,Cap Batik Kayu Motif Adat,Alat cap dari kayu keras diukir motif khas untuk batik,Kunci keberagaman corak batik Lombok yang khas tak tertiru,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
189,Kerajinan Tangan,Perhiasan Tembaga Ukir Kasar,Aksesoris dari tembaga tanpa pelapisan diukir tegas,Kesederhanaan yang tetap memancarkan karakter kuat khas,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
190,Kerajinan Tangan,Kotak Penyimpanan Kayu Ukir,Kotak dari kayu utuh dihias ukiran halus di seluruh sisi,Wadah menyimpan benda pusaka & barang berharga keluarga,Desa Sukarare,-8.7619,116.2147,Tidak Terawat
191,Makanan & Kue Tradisional,Ayam Taliwang,Ayam bakar bumbu cabai bawang terasi rempah sangat pedas,Makanan kebanggaan lambang semangat & keberanian,Taliwang Lombok Barat,-8.7167,116.1167,Terawat
192,Makanan & Kue Tradisional,Plecing Kangkung,Kangkung rebus sambal tomat pedas parutan kelapa,Pendamping segar pola makan sederhana berbasis alam,Seluruh Lombok,-8.5650,116.3510,Terawat
193,Makanan & Kue Tradisional,Sate Bulayak,Sate daging lontong serat halus kuah gulai kental,Lahir dari budaya gotong royong saat hajatan & panen raya,Lombok Tengah,-8.7903,116.2533,Terawat
194,Makanan & Kue Tradisional,Beberuk Terong,Terong bakar diulek cabai bawang tomat garam,Makanan pendamping murah meriah kaya rasa khas pedas,Seluruh Lombok,-8.5650,116.3510,Terawat
195,Makanan & Kue Tradisional,Nasi Balap Puyung,Nasi putih lauk ayam suwir pedas kering dibungkus daun,Makanan cepat praktis warisan leluhur zaman perang,Desa Puyung,-8.7281,116.2419,Terawat
196,Makanan & Kue Tradisional,Rujak Cingur Sasak,Irisan daging sapi & sayur bumbu kacang pedas manis,Akulturasi budaya Jawa yang sudah menjadi milik sendiri,Kota Mataram,-8.5833,116.1167,Tidak Terawat
197,Makanan & Kue Tradisional,Kulit Sapi Tongseng Lombok,Irisan kulit sapi dimasak bumbu kuning pedas kuah kental,Makanan penghangat badan & simbol kebersamaan makan,Lombok Timur,-8.3715,116.5258,Terawat
198,Makanan & Kue Tradisional,Ikan Tanjung Luar Bakar,Ikan laut segar bakar bumbu kuning & sambal dabu-dabu,Rasa syukur atas kekayaan laut yang melimpah ruah,Tanjung Luar Lombok Timur,-8.8069,116.6119,Terawat
199,Makanan & Kue Tradisional,Kue Jaje Monggo,Kue beras kukus manis gurih dibungkus daun pisang,Hidangan wajib saat syukuran & pertemuan adat warga,Seluruh Lombok,-8.5650,116.3510,Terawat
200,Makanan & Kue Tradisional,Kue Klepon Sasak,Bola ketan isi gula merah gulung parutan kelapa segar,Simbol kebahagiaan yang manis di dalam sederhana luarnya,Seluruh Lombok,-8.5650,116.3510,Terawat
201,Makanan & Kue Tradisional,Kue Lapis Tepung Beras,Kue berlapis-lapis warna-warni kukus bertahap,Kesabaran proses & keindahan dari keragaman yang rapi,Seluruh Lombok,-8.5650,116.3510,Terawat
202,Makanan & Kue Tradisional,Kue Serabi Kelapa,Pancake kecil dari tepung beras santan dimasak tanah liat,Makanan pagi warisan turun-temurun rasa alami khas,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
203,Makanan & Kue Tradisional,Kue Bika Ambon Sasak,Kue berongga besar wangi daun pandan & santan kental,Perpaduan budaya luar yang sudah beradaptasi sempurna lokal,Kota Mataram,-8.5833,116.1167,Tidak Terawat
204,Makanan & Kue Tradisional,Kue Dadar Gulung Isi Kelapa,Lempeng tipis hijau gulung isi kelapa gula merah,Manis lembut & warna alami dari daun pandan segar,Seluruh Lombok,-8.5650,116.3510,Terawat
205,Makanan & Kue Tradisional,Kue Cenil,Ketel berwarna-warni kenyal dilumuri parutan kelapa gula,Kegembiraan masa kecil & warna-warni kehidupan sederhana,Seluruh Lombok,-8.5650,116.3510,Terawat
206,Makanan & Kue Tradisional,Kue Getuk Lindri,Ketela pohon ditumbuk halus berlapis rasa manis gurih,Mengolah bahan pangan murah jadi hidangan istimewa,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
207,Makanan & Kue Tradisional,Kue Onde-Onde Lombok,Bola tepung ketan isi gula merah luar biji wijen,Makanan pembawa keberuntungan saat hari besar keagamaan,Seluruh Lombok,-8.5650,116.3510,Terawat
208,Makanan & Kue Tradisional,Kue Apem Beras,Kue kembang dari tepung beras ragi manis gurih,Sajian syukuran selesai panen & doa keselamatan desa,Seluruh Lombok,-8.5650,116.3510,Terawat
209,Makanan & Kue Tradisional,Kue Sagon Kelapa,Keringan dari kelapa parut sangrai tepung gula manis,Tahan lama dibawa bepergian zaman jalan kaki jauh,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
210,Makanan & Kue Tradisional,Kue Putu Mayang,Benang-benang tepung beras disiram kuah gula merah cair,Bentuk unik halus & rasa manis segar khas nusantara,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
211,Makanan & Kue Tradisional,Sate Rembige,Sate daging sapi bumbu kacang pedas khas Lombok Barat,Identitas kuliner khas daerah barat yang sangat dicari orang,Lombok Barat,-8.7167,116.1167,Terawat
212,Makanan & Kue Tradisional,Pelecing Kacang Panjang,Kacang panjang rebus sambal tomat pedas kelapa parut,Variasi plecing memanfaatkan sayur kebun sendiri segar,Seluruh Lombok,-8.5650,116.3510,Terawat
213,Makanan & Kue Tradisional,Gulai Kambing Sembalun,Gulai kental rempah kuat daging kambing pegunungan,Penghangat badan di daerah dingin kaki Gunung Rinjani,Sembalun,-8.3598,116.5258,Terawat
214,Makanan & Kue Tradisional,Ikan Asap Tanjung,Ikan diawetkan cara asap kayu tahan berbulan-bulan,Teknik pengawetan makanan warisan leluhur nelayan,Tanjung Luar,-8.8069,116.6119,Tidak Terawat
215,Makanan & Kue Tradisional,Tumis Pakis Hutan,Pakis muda ditumis bumbu bawang & terasi pedas,Makanan hutan gratis melimpah penuh gizi alami,Seluruh Lombok,-8.5650,116.3510,Terawat
216,Makanan & Kue Tradisional,Kue Kue Kering Kacang Tanah,Keringan dari kacang tanah sangrai gula tepung terigu,Hidangan tamu saat hari raya Idul Fitri keluarga besar,Seluruh Lombok,-8.5650,116.3510,Terawat
217,Makanan & Kue Tradisional,Kue Lemper Ayam,Ketel dibungkus daun pisang isi suwir ayam bumbu,Makanan padat praktis dibawa kerja ke ladang atau sawah,Seluruh Lombok,-8.5650,116.3510,Terawat
218,Makanan & Kue Tradisional,Kue Arem-arem Daging,Nasi bumbu kuning gulung daun isi daging & sayur,Makanan serba ada gizi lengkap warisan zaman dahulu,Seluruh Lombok,-8.5650,116.3510,Terawat
219,Makanan & Kue Tradisional,Bubur Pedas Lombok,Bubur nasi kuah kuning pedas banyak sayuran lauk,Makanan buka puasa & doa arwah keluarga yang mendahului,Seluruh Lombok,-8.5650,116.3510,Terawat
220,Makanan & Kue Tradisional,Es Kelapa Muda Jeruk Nipis,Minuman segar daging kelapa muda air jeruk nipis gula,Penghilang dahaga alami paling ampuh di panas terik,Seluruh Lombok,-8.5650,116.3510,Terawat
221,Makanan & Kue Tradisional,Es Gula Merah Jahe,Minuman hangat jahe gula merah santan sedikit wangi,Minuman kesehatan warisan menghangatkan badan & tenggorokan,Seluruh Lombok,-8.5650,116.3510,Terawat
222,Makanan & Kue Tradisional,Kopi Rarobang,Kopi dicampur jahe gula merah kacang hijau & telur,Minuman tenaga khas Lombok Timur sudah ada ratusan tahun,Lombok Timur,-8.3715,116.5258,Terawat
223,Makanan & Kue Tradisional,Cuka Buah Asam Jawa,Minuman asam manis segar dari buah asam jawa tua,Minuman kesehatan pencernaan alami tanpa bahan pengawet,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
224,Makanan & Kue Tradisional,Kue Dodol Kelapa,Makanan kenyal sangat manis dimasak berjam-jam santan,Ketabahan & kesungguhan dalam mengerjakan sesuatu sampai jadi,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
225,Makanan & Kue Tradisional,Kue Injin,Ketan hitam kukus kelapa parut gula merah di atasnya,Makanan tradisional kaya zat besi & energi tahan lama,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
226,Makanan & Kue Tradisional,Kue Lupis,Ketan dibungkus daun pisang segitiga kukus matang,Sajian syukuran melambangkan kesatuan hati yang kokoh,Seluruh Lombok,-8.5650,116.3510,Terawat
227,Makanan & Kue Tradisional,Kue Talam,Kue dua lapis bawah putih atas hijau atau merah,Perbedaan yang tetap bersatu & indah jika disatukan,Seluruh Lombok,-8.5650,116.3510,Terawat
228,Makanan & Kue Tradisional,Kue Pukis,Kue adonan ragi dimasak cetakan setengah bola berongga,Makanan rakyat murah meriah disukai semua kalangan umur,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
229,Makanan & Kue Tradisional,Kue Wajik Ketan,Ketan dimasak gula merah santan wangi daun pandan cetak belah ketupat,Makanan wajib hajatan melambangkan ikatan yang manis & kuat,Seluruh Lombok,-8.5650,116.3510,Terawat
230,Makanan & Kue Tradisional,Kue Rangi,Kue tepung kanji kelapa parut bakar wangi semerbak,Makanan zaman dulu dijual keliling desa bunyi gendang kecil,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
231,Makanan & Kue Tradisional,Kue Sumping,Kue beras dibungkus janur kelapa memanjang runcing,Sajian pelengkap upacara adat & doa keselamatan jiwa,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
232,Makanan & Kue Tradisional,Kue Bakpia Kacang Hijau,Pastel kecil isi kacang hijau gula kulit tipis renyah,Akulturasi budaya Tionghoa yang sudah jadi milik daerah,Kota Mataram,-8.5833,116.1167,Tidak Terawat
233,Makanan & Kue Tradisional,Kue Kembang Goyang,Kue adonan dicelup cetakan bunga goreng kering renyah,Bentuk seperti bunga bergoyang & simbol kebahagiaan,Seluruh Lombok,-8.5650,116.3510,Terawat
234,Makanan & Kue Tradisional,Kue Kastengel Keju,Kue kering asin gurih dari tepung terigu & keju asli,Pengaruh budaya Eropa yang sudah diadaptasi selera lokal,Kota Mataram,-8.5833,116.1167,Tidak Terawat
235,Makanan & Kue Tradisional,Kue Semprong Gulung,Kue sangat tipis digulung panas renyah isi gula atau cokelat,Ketelatenan tinggi membuatnya & kelezatan yang tak lekang waktu,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
236,Makanan & Kue Tradisional,Kue Sus Kering,Kue berongga isi krim manis gurih dimakan dingin,Pengaruh luar negeri yang kini jadi suguhan hari raya umum,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
237,Makanan & Kue Tradisional,Kue Bagea,Kue kering dari sagu & kelapa sangat keras tahan lama,Makanan bekal pelaut zaman dulu berbulan tidak basi,Seluruh Lombok,-8.5650,116.3510,Rusak Berat
238,Upacara Adat & Ritual,Bau Nyale,Menangkap cacing laut bulan 10 kalender Sasak di pantai,Penghormatan Putri Mandalika & syukur alam,Pantai Seger Kuta,-8.8983,116.3050,Terawat
239,Upacara Adat & Ritual,Merarik,Lelaki membawa lari calon istri ke tempat aman sebagai tanda serius,Kesungguhan meminang & penghormatan orang tua,Seluruh Lombok,-8.5650,116.3510,Terawat
240,Upacara Adat & Ritual,Besan,Prosesi saling kenal & musyawarah dua keluarga sebelum nikah,Musyawarah mufakat menyatukan dua keluarga besar,Seluruh Lombok,-8.5650,116.3510,Terawat
241,Upacara Adat & Ritual,Nyongkolan,Pengantin keliling desa diarak kelompok warga iringan gendang,Memperkenalkan pengantin baru & doa restu warga,Seluruh Lombok,-8.5650,116.3510,Terawat
242,Upacara Adat & Ritual,Perang Topeng Lingsar,Pertunjukan tarung bertopeng antar kelompok di pura,Kerukunan Hindu & Islam Wetu Telu dalam satu acara,Lingsar Lombok Barat,-8.5758,116.1801,Terawat
243,Upacara Adat & Ritual,Rasulan,Syukuran kelahiran anak dibacakan shalawat & doa bersama,Mohon keselamatan & perlindungan Tuhan bagi anak baru,Seluruh Lombok,-8.5650,116.3510,Terawat
244,Upacara Adat & Ritual,Tasyukuran Panen Raya,Warga berkumpul makan bersama hasil bumi diletakkan meja memanjang,Rasa syukur kepada Tuhan atas hasil panen melimpah,Sembalun,-8.3598,116.5258,Terawat
245,Upacara Adat & Ritual,Bersih Desa,Ritual tolak bala seluruh warga bersama doa & makan bersama,Memohon desa dijauhkan dari wabah bencana & marabahaya,Seluruh Lombok,-8.5650,116.3510,Terawat
246,Upacara Adat & Ritual,Sesaji Gunung Rinjani,Pemberian sesaji di puncak atau kaki gunung oleh tetua adat,Penghormatan roh leluhur & penjaga alam gunung suci,Kaki Rinjani,-8.4100,116.4600,Tidak Terawat
247,Upacara Adat & Ritual,Maulid Nabi Bayan,Peringatan kelahiran Nabi dibaca berzanji adat khas berhari-hari,Penyebaran Islam tertua & pemersatu warga sepanjang masa,Bayan Lombok Utara,-8.2666,116.4272,Terawat
248,Upacara Adat & Ritual,Ngalangi,Ritual sunatan anak laki-laki diiringi adat & gendang beleq,Tanda kedewasaan & kewajiban agama yang mulai dipikul,Seluruh Lombok,-8.5650,116.3510,Terawat
249,Upacara Adat & Ritual,Tolak Bala Sebelum Musim Hujan,Doa bersama di batas desa & tepi sungai saat mau hujan lebat,Memohon agar terhindar dari banjir longsor & angin kencang,Seluruh Lombok,-8.5650,116.3510,Tidak Terawat
250,Upacara Adat & Ritual,Siraman Pengantin Wanita,Mandi bunga air mawar & rempah-rempah harum sebelum nikah,Membersihkan lahir batin & menyucikan diri memasuki hidup baru,Seluruh Lombok,-8.5650,116.3510,Terawat
251,Upacara Adat & Ritual,Pasang Sasak di Kepala Pengantin,Ikat kain songket khas di kepala kedua mempelai,Tanda resmi sudah berstatus suami istri secara adat,Seluruh Lombok,-8.5650,116.3510,Terawat
252,Upacara Adat & Ritual,Makan Beradab Berjejer Panjang,Makan bersama satu nampan besar duduk bersila berjejer,Kesetaraan & kebersamaan antar warga tanpa membedakan derajat,Seluruh Lombok,-8.5650,116.3510,Terawat
